N | p | q | a | r
-----------------------------------
N=703, p=37, q=19, a=181, r=18
N=161, p=23, q=7, a=6, r=22
N=527, p=31, q=17, a=473, r=80
N=143, p=11, q=13, a=56, r=6
N=301, p=7, q=43, a=63, r=None
N=133, p=19, q=7, a=96, r=6
N=205, p=5, q=41, a=184, r=20
N=35, p=7, q=5, a=2, r=12
N=55, p=5, q=11, a=25, r=None
N=329, p=47, q=7, a=314, r=46
N=65, p=13, q=5, a=14, r=2
N=287, p=7, q=41, a=119, r=None
N=1073, p=37, q=29, a=678, r=252
N=697, p=17, q=41, a=217, r=40
N=481, p=13, q=37, a=420, r=36
N=551, p=19, q=29, a=79, r=252
N=253, p=11, q=23, a=44, r=None
N=2021, p=43, q=47, a=1349, r=322
N=1591, p=43, q=37, a=584, r=84
N=799, p=47, q=17, a=145, r=184
N=217, p=31, q=7, a=87, r=6
N=437, p=19, q=23, a=327, r=198
N=209, p=11, q=19, a=99, r=None
N=899, p=31, q=29, a=322, r=420
N=215, p=5, q=43, a=191, r=42
N=185, p=5, q=37, a=109, r=36
N=851, p=23, q=37, a=574, r=36
N=319, p=11, q=29, a=263, r=28
N=391, p=23, q=17, a=98, r=44
N=403, p=31, q=13, a=202, r=60
N=203, p=29, q=7, a=45, r=42
N=1739, p=37, q=47, a=111, r=None
N=1927, p=47, q=41, a=671, r=920
N=667, p=23, q=29, a=26, r=308
